chat_message,label
딥키스 개웃기네 ㅋㅋㅋㅋㅋㅋ,0
{:lck_2:}{:lck_2:}{:lck_2:}{:lck_2:}{:lck_2:}{:d_55:}{:d_55:}{:d_55:}{:d_55:},6
어어어어어어어 나이스인데,6
삼성전기는 어떤가요?,6
아 좀 심한거 나오겠네,4
짐싸라 ㅋㅋㅋㅋㅋ,4
쫄 쫄 ㅋㅋ,6
멀뚱멀뚱 ㅋㅋㅋㅋ ㅅㅂ,4
형 웃겨? 형 웃겨? 형 웃겨? 형 웃겨? 형 웃겨? 형 웃겨?,2
손흥민 찬스 몇개 쳐말아먹냐 ㅋㅋㅋ,2
케인 멋지다~!!!,6
ㅆㅂ,4
또 몬살게구네,2
상승 마감인데 이걸 안사?,6
아무도 점프 안뛰노 ㅋㅋㅋ,6
도란 ㅋㅋ,2
환화유출 ㄷㄷㄷㄷ,1
뭔 파울이냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
또또또속아,6
/박수/,6
언제팔어!!!?!,5
으악 ㅅㅂ,4
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
순환매돈다,6
체코 이겨라!,6
온다,5
왜 아무도 안 붙어,4
레오나 팔 한짝 날라갔네,6
형 살려줘~~~,5
ㅆㅂ,4
ㅋㅋㄱㅋㄱㄱㄲ,0
요즘은 4848 하면 안됨,6
명보야 나가 그냥,4
허리 뽀가시,6
코스피 4000간다 이 글은 성지가 된다,6
주폭,6
돌쌤 ㄷㄷㄷ,6
옆그물인줄 ㄷㄷ,6
미친 원더골 ㄷㄷ,1
야호~~~~~~~~~~,6
개미투심 박살났어....ㅠ,3
헉!!,1
어휴 ㅉㅉ,6
도배하지마 짱ㄲ들아,2
삼성전기 살려주세요ㅜㅜ,5
진짜 개빡,2
임종전입니다 ㅠㅠ,3
결국 지는구나 ㅋㅋㅋ,3
ㅇㄱㅇㄱ,6
찌ㅣㅣ,6
ㅈㄴ무섭네,5
한국 돈이 일본에 샌다 ㅋㅋㅋ,6
지리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
ㅋㄱㄲㄱㅋㅋ,0
/조졌다,5
이강인 손흥민을 전혀 못씀 홍명보 ㅋㅋㅋㅋ 뻥축구,4
아니 휘슬 안불었으면 끝까지 해야지 잉글 집중력 봐라,6
신이다,6
/채팅없앰,6
작은 애들 뽑아놓고 작다고 징징거리냐,4
픽포드 ㄷㄷ,1
오옹 나이스,0
핫!,1
들어가!!!!!!!!!!,6
목소리가 두개지요,6
ㅓ,6
걍져라 !~!~~~~~~~~~~~~~~~,2
와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
저런,3
에렌 ㄷㄷ,6
1인 기업세,6
우린 힘이 하나도 없ㄷ어 ㅠㅠ,3
와 ㅋㅋㅋㅋㅋㅋㅋ,0
걍 ㅈㄴ못함 ㅄ들,4
하.. 이게 뭐라고 ㅠㅠ,5
슈카님 근데 시황 이거 왜 해요??,6
매수안햇잖아 너 ㅋㅋㅋㅋㅋㅋㅋㅋ,6
엄살이지,6
잘하다가 여기서 어휴,6
내 예상 대로,6
노르웨이 우승!!!,0
아노…,6
조현우 넣어라 ㅅㅂㅂㅂ,2
초면인가요?,6
환율살려,5
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
....,3
본토산 퀴즈?쇼,6
단타를 어케 .. 와.. 못해 ㅠㅠ,5
크로스ㅜ???????,6
불안한데.. 구름대 머리 맞고 내려왔는데,5
정호경화이팅,6
/헉_s//헉_s//헉_s/,6
헤딩 하나는ㅋㅋㅋㅋㅋㅋ,1
개미 꼬셔야지 잠깐 올여서 ㅋ,6
레버는 지옥이예뉴,6
진짜 그 얼굴 나오니.먹히냐,4
수비 5명 벙찌고 있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
눈보송,6
크로스네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
돔황챠,6
3번누구냐,6
정몽규 보여주자 마자 골먹네 왜 보여줬어,4
부장님엑 깨지지 뭐,6
개지리노,1
야호도 몰랐어,6
아니 기회가 얼마나 많았는데 {:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:},2
야야야,6
원래 이런 방인가욤 ㅠㅠ,5
뻥글랜드 ㅈ됬네 ㅋㅋㅋ,6
え,6
구경하냐,4
무슨 고지대 적응했다는 애들이 ㅋㅋㅋ 적응 못한애들보다 못 뛰냐,2
투현준이들아 제발 좀 집중 좀 해줘라 폼을 끌어올리던지,6
무한 동력이네..,1
꼽기견 뭐냐,2
꼽기견 뭐냐,2
+무지개배경,6
진짜 어휴,2
가수네요,6
농구배구선수ㄷㄷ,1
1000억 슈카 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1
대퓨님만.,6
형 난 물었어,6
그지겜,6
입 벨튀 ㄷㄷ,1
그래 그정도는 기억해라..,6
넘힘,6
골키퍼 뭐하는 놈이냐,2
르,6
진짜 슈카네.,6
홍명보 멸망 가즈아,6
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기노],0
그럼 이제 다시 오르네???,6
어깨겁시다,6
첨벙첨벙 소리 개빡이다 ㅅㅂ,5
공건들엿잖아 뭔 파울이고,6
픽포드 왜 손 빼 ㅋㅋㅋ,6
교체좀해라 제발,2
와ㄷㄷㄷㄷㄷㄷㄷㄷ,1
장 마감 빨리오렴 ㅠㅠ,5
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
/채팅초고속,6
손흥민 쳐나가라 ㅋㅋ,4
다라이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅈ댓다 물뭔데 이거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5
개미쳤다,1
그냥 너무 답답해,2
이게 도박장이아니고 뭐야 미친거아니냐고,1
엄청 기다렷어요 불안해서요,5
신 르 웨 이,6
졸못하네,4
공중권 ㄷㅈ와ㄷ,6
죽은고양이,6
골ㄷㄷ,1
무슨 축구가 쿠팡도 아니고,6
손흥민 빼라,4
저런,3
일부러 안죽이는거 아님?ㅋㅋㅋ,6
살려주세요~~~~~~~~~~~~~~,5
08은 진짜 어리네,6
픽포드는 맨날 소리만 지르노,6
(애교아님),6
페이즈 컷,6
BED씬,6
조졌네,5
헉!!,1
고양이가 야옹해요,6
"야신 : ??? 누가 막긴 내가 막지,,",6
광탈각이누..,3
죄송해요 케인님 ㅠㅠㅠㅠㅠㅠㅠㅠ,5
{:wc_37:}{:wc_37:}{:wc_37:}{:wc_37:}{:wc_37:}{:wc_37:},6
아리가땡스~,6
그냥 오늘 cpi 나스낙이나 하자,6
신기하다 게임이....,1
원래 주식도 주식 이름 말곤 모르긴해~,6
오늘 cpi 인데 곘냐고,6
쫄아서 바로 문닫음 ㅋㅋㅋㅋㅋㅋ,0
케인 나빠다ㅠㅠ,3
외부 일정이요?,6
살까??,6
두번죽임ㅠㅠ,3
2패예약 ㅅㅅㅅ,6
ㄷㄷ,1
카에데양~,6
ic,6
승규야 몽규랑 같이 나가 죽어라,2
동네사람들~~~~~~~~,6
오전에 코스피 5%올랐다가..,6
앞에잇다,5
장난????????,1
ㄹㅇㅋㅋ,0
노노노노노 그렇겐 안돼 잠시 기억 속에 머물단 갈수 없어~,6
상승가네~!!!!!!!!!!!,0
단일종목레버리지로 도박장 만들어서 증시 박살낸 역대급 무능하고 심지어 무책임한 정부..... 개미들 돈 털어서 외국인들 떠먹여줌 양털깎이 레전드네,6
버그네 ㅋ.ㅋ,6
꼽견 이제 좀 나가라,4
코젤다크 불매,6
형 양봉망치캔들인데?,6
아 이거 똥싸다끊은거같이 ㅋㅋ,4
변압기 ㅎㄷㄷㄷ,6
개억지를 부려 ㅋㅋ,0
-9때 던지고 올라가는 거 본 사람 가슴아프겄네 ㅋㅋ,6
제바리투,6
오 노래잘함.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
티원 다운 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
졸라 재미있다 ㅋㅋㅋ,0
전술이 없는데 어떻게 이기냐,2
ㄲㅈ,4
엥?,6
온다,5
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
인버스도 국장이다! 인버스 가즈아!!,0
포켓몬 맞추기,6
주주들 표독한거보니까 곧 저점인듯 합니다!,6
브이엠도 봐주십숑.....ㅠ,5
/채팅재개,6
잘하네??,1
또 꺾인다~~~~~~~~,2
삼전기,6
골 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
아직 바닥 아님 ㅜㅜ,5
코스피 8% 밀었음 고점대비,6
앞에서,6
{:d_106:}{:d_106:}{:d_106:}{:d_106:}{:d_106:},6
늙었어,6
준비도 못한 팀 상대로 골 먹고 ㅠㅠ,3
ㅈㄴ 무섭네 ㅋㅋ,5
에또,6
와 무섭,5
ㅋㅋㅋ 아 어이없다,2
진짜.. 단타 무섭네 ㄷㄷ,5
체코도 못이기면 월드컵 어떻게 하겠다는거녀,2
굴림 안쓴게 어디야,6
이번주 내내 하락일텐데. 겠냐에요,6
덥석,6
내려간다 내려간다,6
첨벙첨벙 소리 개빡이다 ㅅㅂ,5
여태 골 못넣은 손흥민 은퇴해야겠지…?,6
홍타쿠 ㄷㄷ,1
밥 먹으면서 하죠,6
그래 g2 조합이 한타 조합이라 모름 진짜.......,3
얘기하면 혼내시자나요ㅠㅠ,3
파도타기만 잘하면되네,6
케엄살 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
캡짱스,6
키퍼  정신 줄 놓고 있었네,6
정몽규회장시발,4
대ㅡㅡㅡㅡㅡㅡㅡ박,1
저는 몰라요 ㅎㅎ,6
포대장 ㄷㄷㄷ,1
아무 골대에라도 넣어라~~,6
수ㅡ파,6
왜 이렇게까지 밀어재끼는거야,1
교체도안하고 대체 뭔생각이냐? 집중력다떨어져있는거보이지도않나,2
유명인 ㄷㄷ,1
근데 ㅋㅋ,6
졸부닉스,6
나빠다ㅠㅠ,3
비상ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,5
역배팅 헷는데 이걸!!!!,2
체코민국 짝짝짝짝짝체코민국 짝짝짝짝짝,6
진짜 어휴,2
으ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,3
쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵 盧 쿵쿵,6
머냐 이건ㅋㅋㅋ,1
⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️,6
아니 뭔 넥장에서 또샀어,6
ㅈㄴ재미없네,2
인버스도 국장이다! 인버스 가즈아!!,0
좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져. 좆명보 꺼져.,4
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ?,0
와 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
비상!!,5
몽규 화면 잡지마라~~,6
취소될듯 ㅋㅋㅋㅋㅋ,6
레버리지는 저거두배,6
들어가면 공시하세요 도망치게,6
?ㅋㅋㅋㅋㅋㅋㅋㅋ,0
버그 ㄷㄷ,1
잘하네...,3
스트레스 받게하네 진짜,2
븅신들,4
"기회도많았는데 한골먹히네,.,",3
/홍명보 제거 썼는데 왜 제거 안되누,4
짜증나,2
ㅗㅜㅑㅗㅑㅜ,1
점마 꼇는데??,6
살려주세여,3
..,3
연경이 누나는ㅇ ㅈ이지,6
"와 레전드네,.,",1
박살나는중,2
니니 안오시나요,6
200층분들 살아계신가요,6
케인큰거했다 케인큰거했다 케인큰거했다 케인큰거했다 케인큰거했다 케인큰거했다 케인큰거했다 케인큰거했다 케인큰거했다 케인큰거했다,6
스엑스,6
작은 애들 뽑아놓고 작다고 징징거리냐,4
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
반도체 억까 개심하긴하지?,2
오너 그걸 발사를,6
오냐 성얘기 마음껏 해주마,6
왜 아무도 안 붙어,4
또 꺾인다~~~~~~~~,2
삼전기 한 번만 봐줘요 ㅠㅜ,3
진짜 개변태같네,4
핫브레이크 또 걸렸냐,6
개귀엽네,6
치트엔진으로 한탕하죠,6
좀키워줘,6
대한ㅁ;ㄴ구 개병신년들아ㅜ,4
조졌죠 ㅋㅋㅋ,6
이중세금 내신데요,6
그치 위로 땡기잖아,6
저거먹히냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
공물을 바쳐요,6
겨털이없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅈ댓다 물뭔데 이거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5
죠짐,5
왜 처들어간거야,2
ㅋ헉,6
위치 특정,6
속터질듯,2
왜구일정,6
훈수,6
케인 더 누워라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
특별를ㄹㄹㄹㄹ,6
한명을 못 뚫노,4
진로 반등의 서막?,6
떠나자,6
손흥민 빼라...,2
보노보놐ㅋㅋㅋㅁㅋ,0
개 웃기네,6
찝찝맨...,5
왜 이렇게까지 밀어재끼는거야,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
경합 붙혀라 노르웨이야,6
완 플러스 원,6
문 부수는 거 아녀?,6
너무하네,6
슈형이 계속 방송 키는거 보니 레알 ....비상상황이구나,6
이야 골 예술이노,1
머로,6
짜증난다 ㅅㅂ,2
모지롱모찌롱,6
ㄱㄱㄱㄱㄱㄱㄱㄱ,6
노르웨이 우승각이다 ㄹㅇ,6
엄,6
15남았어,6
저게 들어가네,1
엄청 기다렷어요 불안해서요,5
속상하다 정말 {:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:},6
이기혁은 명보픽이지?!,6
골인정 ㅅㅅㅅㅅㅅ,0
/체코제거,6
미쳤네 ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
유튜브 봐야 알지,6
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
에데양~,6
살려주세요ㅕㅕㅕㅕㅕㅕㅕㅕㅕ,5
학폭 터짐 ㅠㅠㅠㅠ,3
짜증나,2
장 마감 빨리오렴 ㅠㅠ,5
화장실이 진짜지.....,5
가짜는 뭐임 그럼 ㅋㅋ,6
아아,6
그래도 슈카형 자주봐서 좋네,6
존나 재미있어,0
웃음이 나오냐?,2
튈수있나?,6
말이 되나,6
다이빙 ㅋㅋㅋ,6
/채희준제거,6
뒤져라 체이커,2
아 근데 진짜 계속 비비기만하고 뭐 하는게 없냐 답답하네 일단 때려야할 거 아냐 아까 그 찬스를 놓치고,2
나라망햇나요??,1
장 마감 빨리오렴 ㅠㅠ,5
교체좀해라고 시발,2
홍명보 멸망,4
떨거지 같은,6
ㅈㄴ무섭네,5
반등임??아님 내일 떨어지나.?,6
노르딕,6
케인 나빠다ㅠㅠ,3
var 들어갈거 같은데,6
분봉 진짜 레전드,1
삼성전기봐주세요ㅠㅠㅠㅠㅠㅠㅠㅠ,3
zzzzzzzzzzzzzzzzzzzzzzz,0
고리노,6
진엔딩 봐요,6
니들은 그냥 져라 ㅋㅋ,2
