timestamp,chat_text,top_emotion,joy_pct,embarrass_pct,anger_pct,anxiety_pct,hurt_pct,sadness_pct,neutral_pct
76.0,111 ++!!,당황,10.81,38.88,14.49,2.65,6.77,5.55,20.86
77.0,111: +1 Itm it,중립,3.2,4.17,5.11,4.49,2.8,5.15,75.08
78.0,[i1 ! +,중립,3.36,6.73,7.47,3.43,3.08,5.47,70.46
82.0,1+*',중립,4.36,4.52,4.87,3.82,2.41,5.23,74.8
83.0,++++ 승caat,중립,2.66,4.19,5.0,4.43,2.88,5.49,75.35
84.0,[++++],중립,3.63,3.67,5.33,2.97,2.71,4.37,77.33
85.0,I,중립,5.45,10.73,4.89,10.68,2.56,9.71,55.97
86.0,-!!,당황,30.87,36.23,12.96,3.86,6.28,8.9,0.9
88.0,흐,중립,4.09,7.5,4.65,10.58,3.13,8.4,61.64
89.0,꼭,중립,13.76,11.95,5.72,13.31,2.81,8.94,43.51
90.0,꼭,중립,13.76,11.95,5.72,13.31,2.81,8.94,43.51
93.0,14+}] +백 -{미,중립,1.76,4.07,5.73,4.84,3.84,6.09,73.66
94.0,[+4 4],중립,3.88,4.07,5.41,3.45,2.73,4.95,75.52
95.0,+++++* 1 미,중립,2.45,4.4,5.03,4.82,2.98,5.76,74.56
96.0,+++면! ' Ti 14,중립,3.24,4.04,4.92,4.1,2.68,5.17,75.86
97.0,11+ -,중립,4.23,20.7,5.22,13.47,3.87,18.46,34.06
98.0,11+ -,중립,4.23,20.7,5.22,13.47,3.87,18.46,34.06
99.0,"11+ - ""-",중립,4.22,20.84,5.25,13.23,3.87,18.41,34.17
101.0,+++ +++! 불{다,중립,2.97,4.92,4.85,5.64,2.89,6.39,72.35
102.0,+는 1E1:,중립,3.26,4.74,4.77,4.69,2.62,5.58,74.34
104.0,++는 I Cagh,중립,2.75,3.5,5.43,3.12,2.97,4.46,77.77
105.0,+-+,중립,3.43,4.59,4.89,4.65,2.64,5.7,74.09
106.0,++++ ++++}?,중립,2.03,5.34,7.12,2.95,3.65,4.02,74.88
107.0,:'+++ ++++++ 11,중립,2.62,3.21,5.44,2.98,3.09,4.22,78.44
109.0,+_++],중립,4.39,4.1,5.1,3.72,2.56,5.12,75.01
110.0,1++ +-I+ -- -니,중립,2.01,4.37,5.31,5.0,3.37,6.15,73.79
111.0,11 +++,중립,2.88,3.58,5.23,3.34,2.9,4.56,77.51
112.0,-+1111,중립,2.74,4.44,5.12,4.59,2.98,5.88,74.25
113.0,가,중립,2.64,4.8,4.94,5.82,3.21,5.97,72.62
114.0,++++! 께{,중립,4.36,5.16,4.73,5.07,2.53,6.01,72.13
115.0,++++! +41 {이 -,중립,2.69,3.48,5.57,3.12,3.13,4.58,77.43
116.0,++++! :,중립,3.76,10.46,6.84,5.24,2.71,8.76,62.23
117.0,+++!!,당황,14.94,40.48,15.27,3.56,7.96,6.22,11.57
121.0,++++ I+,중립,3.01,3.34,5.44,2.95,3.02,4.2,78.04
122.0,11,중립,3.8,12.99,5.12,13.33,3.07,13.25,48.45
128.0,"""++",중립,4.27,4.95,4.79,4.84,2.53,5.88,72.73
129.0,+++ ++,중립,2.58,3.27,5.47,3.02,3.16,4.21,78.27
130.0,i? ++,중립,2.31,3.47,5.28,3.43,3.1,4.51,77.9
131.0,11 ++-+,중립,3.08,3.8,5.13,3.75,2.83,4.95,76.46
132.0,T++l -+-+,중립,4.28,4.08,5.1,3.46,2.57,4.94,75.57
133.0,"++i+ ""+++",중립,3.23,3.85,5.04,3.66,2.74,4.9,76.57
134.0,{0 +++ +++ |,중립,2.75,3.61,5.18,3.54,2.92,4.81,77.2
135.0,:+++,중립,3.37,3.76,5.16,3.29,2.73,4.59,77.11
136.0,+++ + 여집,중립,1.79,3.32,6.3,3.47,4.19,4.92,76.01
137.0,"""+L{ ++- 여이",중립,2.53,3.14,5.93,2.65,3.35,4.06,78.36
138.0,++ 가이만면,중립,2.0,3.11,6.42,2.93,4.12,4.35,77.07
139.0,-+-],중립,5.16,5.08,4.98,4.47,2.43,5.84,72.02
140.0,+ 사으고 일는,중립,1.86,3.03,6.84,2.96,4.66,4.32,76.33
141.0,일,중립,2.75,3.7,5.6,3.24,3.21,4.89,76.6
142.0,111 +:,중립,2.83,4.83,5.04,5.03,2.88,6.1,73.3
143.0,+: -,중립,3.65,15.81,5.12,17.52,3.74,17.68,36.47
144.0,-,중립,4.23,20.56,5.18,13.77,3.88,18.46,33.93
145.0,11,중립,3.8,12.99,5.12,13.33,3.07,13.25,48.45
146.0,1t,중립,4.95,5.08,4.91,4.76,2.55,5.92,71.84
147.0,1t ',중립,3.95,18.88,5.08,15.67,3.89,18.77,33.77
148.0,1[+: +++! +++,중립,3.28,3.34,5.55,2.73,2.87,4.08,78.14
149.0,1[+: +++!,중립,3.63,7.51,8.58,2.82,3.8,4.71,68.95
150.0,11+ +i+1 - -{다 +++--,중립,3.5,4.04,4.92,4.03,2.65,5.17,75.69
151.0,1111,중립,4.1,6.78,4.77,7.15,2.65,7.97,66.58
152.0,1111,중립,4.1,6.78,4.77,7.15,2.65,7.97,66.58
153.0,111 E!,중립,3.65,7.59,8.43,3.2,4.28,5.48,67.38
154.0,[1 ++++ ++++ +++++- Ls,중립,3.12,3.28,5.6,2.81,3.01,4.12,78.06
155.0,또[,중립,10.29,8.63,5.3,8.31,2.48,7.74,57.25
156.0,19+4,중립,3.56,4.38,4.87,4.2,2.58,5.43,74.99
157.0,'++ agen yo,중립,3.24,4.16,4.9,4.22,2.67,5.07,75.73
158.0,++ +++,중립,2.6,3.24,5.53,2.93,3.18,4.16,78.37
159.0,+++ ::,중립,2.73,7.96,5.1,8.45,3.02,9.9,62.84
160.0,+++ :: -{+0,중립,2.26,7.74,5.5,8.39,3.39,10.43,62.29
161.0,],중립,10.02,8.47,5.22,7.78,2.43,7.57,58.51
162.0,한,중립,4.09,7.5,4.65,10.58,3.13,8.4,61.64
163.0,"""!! ++++",중립,3.72,33.58,5.8,2.6,2.88,4.07,47.35
164.0,"""!! ++++",중립,3.72,33.58,5.8,2.6,2.88,4.07,47.35
165.0,!!,당황,30.27,36.41,13.28,3.88,6.37,8.89,0.9
166.0,1I --+ 1,중립,2.99,4.92,5.06,5.0,2.91,6.54,72.58
167.0,년+ ++,중립,2.27,3.67,5.36,3.79,3.26,5.02,76.64
170.0,1A+ +++},중립,2.83,3.59,5.34,3.37,2.98,4.62,77.28
171.0,1t ++++! [t +4 ++ +++ -__프 있한,중립,2.0,2.93,6.25,2.85,3.96,4.07,77.93
172.0,11:1 + +i를 --미 ['지라,중립,1.3,5.0,7.13,7.15,5.63,8.06,65.72
173.0,1+1 { 이만면,중립,2.28,3.47,5.57,3.17,3.24,4.63,77.64
174.0,111 +++!? -+' [무한--,중립,2.03,34.48,5.16,5.6,3.34,6.32,43.07
175.0,제+++,중립,2.39,3.47,5.38,3.35,3.17,4.72,77.52
176.0,1[1 '는,중립,3.17,13.37,5.25,17.0,3.68,16.6,40.93
177.0,11,중립,3.8,12.99,5.12,13.33,3.07,13.25,48.45
